match_id,team1,team2,venue,date,toss_winner,toss_decision,winner
1304049,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",2022-03-27,Punjab Kings,field,Punjab Kings
336016,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2008-05-12,Royal Challengers Bangalore,bat,Kings XI Punjab
1082612,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium,2017-04-20,Mumbai Indians,field,Mumbai Indians
1216515,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium,2020-10-03,Kolkata Knight Riders,field,Delhi Capitals
1178423,Sunrisers Hyderabad,Kings XI Punjab,Rajiv Gandhi International Stadium,2019-04-29,Kings XI Punjab,field,Sunrisers Hyderabad
1473457,Sunrisers Hyderabad,Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-04-06,Gujarat Titans,field,Gujarat Titans
392224,Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,2009-05-14,Chennai Super Kings,bat,Royal Challengers Bangalore
1473439,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-03-23,Rajasthan Royals,field,Sunrisers Hyderabad
598028,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,2013-05-16,Delhi Daredevils,field,Kings XI Punjab
1216507,Sunrisers Hyderabad,Rajasthan Royals,Dubai International Cricket Stadium,2020-10-11,Sunrisers Hyderabad,bat,Rajasthan Royals
1359475,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023-03-31,Gujarat Titans,field,Gujarat Titans
729297,Rajasthan Royals,Chennai Super Kings,Dubai International Cricket Stadium,2014-04-23,Rajasthan Royals,field,Chennai Super Kings
336019,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",2008-05-28,Rajasthan Royals,field,Kings XI Punjab
501199,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2011-04-09,Rajasthan Royals,field,Rajasthan Royals
1426291,Chennai Super Kings,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024-05-05,Punjab Kings,field,Chennai Super Kings
1473452,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",2025-04-03,Sunrisers Hyderabad,field,Kolkata Knight Riders
1473458,Royal Challengers Bengaluru,Mumbai Indians,"Wankhede Stadium, Mumbai",2025-04-07,Mumbai Indians,field,Royal Challengers Bengaluru
1178431,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,2019-05-05,Mumbai Indians,field,Mumbai Indians
1426266,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2024-04-14,Kolkata Knight Riders,field,Kolkata Knight Riders
1529285,Royal Challengers Bengaluru,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2026-04-30,Gujarat Titans,field,Gujarat Titans
336008,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,Mumbai Indians,field,Mumbai Indians
392205,Deccan Chargers,Rajasthan Royals,St George's Park,2009-05-02,Deccan Chargers,bat,Rajasthan Royals
1485779,Punjab Kings,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",2025-05-24,Delhi Capitals,field,Delhi Capitals
1216510,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,2020-09-24,Royal Challengers Bangalore,field,Kings XI Punjab
829817,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,2015-05-19,Mumbai Indians,bat,Mumbai Indians
1473484,Gujarat Titans,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2025-04-28,Rajasthan Royals,field,Rajasthan Royals
1473510,Mumbai Indians,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",2025-06-01,Punjab Kings,field,Punjab Kings
