player,total_runs,total_balls,total_batting_points,batting_matches,avg_runs,strike_rate,fantasy_avg,fantasy_best,fantasy_total,fantasy_matches,bowling_avg,bowling_best,bowling_total,matches
A Ashish Reddy,280,196,326.0,23,12.173913043478262,142.85714285714286,14.173913043478262,44.0,326.0,23,23.75,75.0,475.0,20.0
A Badoni,1135,866,1314.0,55,20.636363636363637,131.0623556581986,23.89090909090909,89.0,1314.0,55,12.5,50.0,100.0,8.0
A Chandila,4,7,4.0,2,2.0,57.14285714285714,2.0,4.0,4.0,2,22.916666666666668,100.0,275.0,12.0
A Chopra,53,75,60.0,6,8.833333333333334,70.66666666666667,10.0,27.0,60.0,6,0.0,0.0,0.0,0.0
A Choudhary,25,20,28.0,3,8.333333333333334,125.0,9.333333333333334,16.0,28.0,3,25.0,50.0,125.0,5.0
A Dananjaya,4,5,4.0,1,4.0,80.0,4.0,4.0,4.0,1,0.0,0.0,0.0,1.0
A Flintoff,62,57,71.0,3,20.666666666666668,108.77192982456141,23.666666666666668,28.0,71.0,3,16.666666666666668,25.0,50.0,3.0
A Kamboj,55,47,63.0,9,6.111111111111111,117.02127659574468,7.0,22.0,63.0,9,33.333333333333336,75.0,800.0,24.0
A Kumble,35,49,38.0,15,2.3333333333333335,71.42857142857143,2.533333333333333,9.0,38.0,15,29.166666666666668,125.0,1225.0,42.0
A Manohar,292,243,343.0,20,14.6,120.16460905349795,17.15,51.0,343.0,20,0.0,0.0,0.0,0.0
A Mhatre,441,250,538.0,13,33.92307692307692,176.4,41.38461538461539,113.0,538.0,13,0.0,0.0,0.0,0.0
A Mishra,381,440,422.0,55,6.927272727272728,86.5909090909091,7.672727272727273,34.0,422.0,55,28.24074074074074,125.0,4575.0,162.0
A Mithun,34,26,40.0,6,5.666666666666667,130.76923076923077,6.666666666666667,13.0,40.0,6,12.5,50.0,200.0,16.0
A Mukund,19,23,20.0,2,9.5,82.6086956521739,10.0,20.0,20.0,2,0.0,0.0,0.0,0.0
A Nehra,41,63,46.0,17,2.411764705882353,65.07936507936508,2.7058823529411766,26.0,46.0,17,34.375,125.0,3025.0,88.0
A Nortje,49,52,55.0,14,3.5,94.23076923076923,3.9285714285714284,27.0,55.0,14,32.142857142857146,100.0,1575.0,49.0
A Raghuvanshi,885,628,1041.0,30,29.5,140.9235668789809,34.7,100.0,1041.0,30,0.0,0.0,0.0,0.0
A Singh,2,10,2.0,5,0.4,20.0,0.4,1.0,2.0,5,33.69565217391305,100.0,775.0,23.0
A Symonds,974,781,1130.0,36,27.055555555555557,124.71190781049937,31.38888888888889,142.0,1130.0,36,19.166666666666668,75.0,575.0,30.0
A Tomar,4,8,5.0,1,4.0,50.0,5.0,5.0,5.0,1,0.0,0.0,0.0,0.0
A Uniyal,4,7,4.0,2,2.0,57.14285714285714,2.0,4.0,4.0,2,37.5,75.0,75.0,2.0
