match_id,player,runs,balls,batting_points,fours,sixes
335982,AA Noffke,9,12,10.0,1.0,0.0
335982,B Akhil,0,2,0.0,0.0,0.0
335982,BB McCullum,158,77,194.0,10.0,13.0
335982,CL White,6,10,6.0,0.0,0.0
335982,DJ Hussey,12,12,13.0,1.0,0.0
335982,JH Kallis,8,7,10.0,0.0,1.0
335982,MV Boucher,7,11,8.0,1.0,0.0
335982,Mohammad Hafeez,5,3,6.0,1.0,0.0
335982,P Kumar,18,17,23.0,1.0,2.0
335982,R Dravid,2,3,2.0,0.0,0.0
335982,RT Ponting,20,20,23.0,1.0,1.0
335982,SB Joshi,3,8,3.0,0.0,0.0
335982,SC Ganguly,10,12,12.0,2.0,0.0
335982,V Kohli,1,5,1.0,0.0,0.0
335982,W Jaffer,6,18,6.0,0.0,0.0
335982,Z Khan,3,8,3.0,0.0,0.0
335983,IK Pathan,3,5,3.0,0.0,0.0
335983,JDP Oram,13,11,15.0,0.0,1.0
335983,JR Hopes,71,34,87.0,10.0,3.0
335983,K Goel,24,20,28.0,2.0,1.0
335983,KC Sangakkara,54,35,63.0,5.0,2.0
335983,MEK Hussey,116,54,142.0,8.0,9.0
335983,ML Hayden,25,17,31.0,4.0,1.0
335983,MS Dhoni,2,3,2.0,0.0,0.0
335983,PA Patel,15,11,18.0,3.0,0.0
335983,S Badrinath,31,14,38.0,3.0,2.0
335983,SK Raina,32,14,40.0,2.0,3.0
335983,SM Katich,21,17,23.0,0.0,1.0
335983,Yuvraj Singh,23,13,28.0,1.0,2.0
335984,D Salunkhe,26,20,30.0,4.0,0.0
335984,DS Lehmann,1,2,1.0,0.0,0.0
335984,G Gambhir,58,49,67.0,7.0,1.0
335984,M Kaif,9,19,9.0,0.0,0.0
335984,M Rawat,2,4,2.0,0.0,0.0
335984,RA Jadeja,29,24,35.0,2.0,2.0
335984,S Dhawan,52,44,60.0,8.0,0.0
335984,SK Trivedi,3,7,3.0,0.0,0.0
335984,SK Warne,14,13,16.0,2.0,0.0
335984,SR Watson,21,15,25.0,4.0,0.0
335984,T Kohli,7,13,9.0,0.0,1.0
335984,V Sehwag,12,4,15.0,3.0,0.0
335984,YK Pathan,10,5,12.0,2.0,0.0
335985,AM Nayar,20,15,23.0,1.0,1.0
335985,B Akhil,3,6,3.0,0.0,0.0
335985,DJ Thornely,0,6,0.0,0.0,0.0
335985,Harbhajan Singh,2,2,2.0,0.0,0.0
335985,JH Kallis,25,24,27.0,0.0,1.0
335985,L Ronchi,8,10,10.0,2.0,0.0
335985,LRPL Taylor,23,13,28.0,1.0,2.0
335985,MV Boucher,39,20,47.0,4.0,2.0
335985,PR Shah,19,23,21.0,2.0,0.0
335985,R Dravid,32,33,36.0,4.0,0.0
335985,RV Uthappa,48,38,55.0,5.0,1.0
335985,S Chanderpaul,16,12,19.0,3.0,0.0
335985,SM Pollock,28,12,35.0,3.0,2.0
335985,ST Jayasuriya,29,17,36.0,5.0,1.0
335985,V Kohli,23,15,28.0,3.0,1.0
335986,A Symonds,32,41,38.0,2.0,2.0
335986,AC Gilchrist,23,24,28.0,1.0,2.0
335986,AS Yadav,10,10,12.0,0.0,1.0
335986,BB McCullum,5,5,6.0,1.0,0.0
335986,DJ Hussey,38,45,45.0,1.0,3.0
335986,LR Shukla,4,6,4.0,0.0,0.0
335986,Mohammad Hafeez,13,13,16.0,1.0,1.0
335986,RG Sharma,0,3,0.0,0.0,0.0
335986,RP Singh,1,2,1.0,0.0,0.0
335986,RT Ponting,0,1,0.0,0.0,0.0
335986,SB Bangar,14,10,17.0,1.0,1.0
335986,SB Styris,6,7,7.0,1.0,0.0
335986,SC Ganguly,14,35,15.0,1.0,0.0
335986,VVS Laxman,0,6,0.0,0.0,0.0
335986,WP Saha,10,17,11.0,1.0,0.0
335986,WPUJC Vaas,0,1,0.0,0.0,0.0
335986,Y Venugopal Rao,14,14,15.0,1.0,0.0
335987,B Lee,0,2,0.0,0.0,0.0
335987,DPMD Jayawardene,2,5,2.0,0.0,0.0
335987,DS Lehmann,17,17,20.0,3.0,0.0
335987,IK Pathan,12,19,14.0,0.0,1.0
335987,JR Hopes,16,16,18.0,2.0,0.0
335987,K Goel,26,21,33.0,3.0,2.0
335987,KC Sangakkara,20,8,25.0,3.0,1.0
335987,Kamran Akmal,15,10,19.0,2.0,1.0
335987,M Kaif,5,8,6.0,1.0,0.0
335987,PP Chawla,24,11,28.0,4.0,0.0
335987,RA Jadeja,36,27,43.0,5.0,1.0
335987,S Sohal,4,4,4.0,0.0,0.0
335987,SR Watson,76,51,91.0,5.0,5.0
